config_a,config_b,num_prompts,exact_matches,exact_match_ratio,token_match_ratio,bleu,rouge_l,edit_distance,edit_distance_normalized,semantic_similarity,first_divergence_token
c0_baseline,c0_baseline,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c0_baseline,c1_chunked_prefill_small,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c0_baseline,c2_chunked_prefill_large,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c0_baseline,c3_cuda_graphs,20,9,0.45,0.6852050000000001,73.45039,0.785115,124.15,0.20856500000000003,-1.0,15.95
c0_baseline,c4_prefix_caching,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c0_baseline,c5_batch_processing,20,6,0.3,0.5844400000000001,73.319985,0.7827949999999999,142.2,0.23773499999999997,-1.0,22.1
c0_baseline,c6_low_memory,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c0_baseline,c8_cpu_swap,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c0_baseline,c9_determinism,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c1_chunked_prefill_small,c1_chunked_prefill_small,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c1_chunked_prefill_small,c2_chunked_prefill_large,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c1_chunked_prefill_small,c3_cuda_graphs,20,9,0.45,0.6852050000000001,73.45039,0.785115,124.15,0.20856500000000003,-1.0,15.95
c1_chunked_prefill_small,c4_prefix_caching,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c1_chunked_prefill_small,c5_batch_processing,20,6,0.3,0.5844400000000001,73.319985,0.7827949999999999,142.2,0.23773499999999997,-1.0,22.1
c1_chunked_prefill_small,c6_low_memory,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c1_chunked_prefill_small,c8_cpu_swap,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c1_chunked_prefill_small,c9_determinism,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c2_chunked_prefill_large,c2_chunked_prefill_large,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c2_chunked_prefill_large,c3_cuda_graphs,20,9,0.45,0.6852050000000001,73.45039,0.785115,124.15,0.20856500000000003,-1.0,15.95
c2_chunked_prefill_large,c4_prefix_caching,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c2_chunked_prefill_large,c5_batch_processing,20,6,0.3,0.5844400000000001,73.319985,0.7827949999999999,142.2,0.23773499999999997,-1.0,22.1
c2_chunked_prefill_large,c6_low_memory,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c2_chunked_prefill_large,c8_cpu_swap,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c2_chunked_prefill_large,c9_determinism,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c3_cuda_graphs,c3_cuda_graphs,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c3_cuda_graphs,c4_prefix_caching,20,9,0.45,0.6852050000000001,73.44885000000001,0.785115,124.15,0.20856500000000003,-1.0,15.95
c3_cuda_graphs,c5_batch_processing,20,7,0.35,0.560235,65.900285,0.724425,166.25,0.28094,-1.0,15.1
c3_cuda_graphs,c6_low_memory,20,9,0.45,0.6852050000000001,73.44885000000001,0.785115,124.15,0.20856500000000003,-1.0,15.95
c3_cuda_graphs,c8_cpu_swap,20,9,0.45,0.6852050000000001,73.44885000000001,0.785115,124.15,0.20856500000000003,-1.0,15.95
c3_cuda_graphs,c9_determinism,20,9,0.45,0.6852050000000001,73.44885000000001,0.785115,124.15,0.20856500000000003,-1.0,15.95
c4_prefix_caching,c4_prefix_caching,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c4_prefix_caching,c5_batch_processing,20,6,0.3,0.5844400000000001,73.319985,0.7827949999999999,142.2,0.23773499999999997,-1.0,22.1
c4_prefix_caching,c6_low_memory,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c4_prefix_caching,c8_cpu_swap,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c4_prefix_caching,c9_determinism,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c5_batch_processing,c5_batch_processing,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c5_batch_processing,c6_low_memory,20,6,0.3,0.5844400000000001,73.31579,0.7827949999999999,142.2,0.23773499999999997,-1.0,22.1
c5_batch_processing,c8_cpu_swap,20,6,0.3,0.5844400000000001,73.31579,0.7827949999999999,142.2,0.23773499999999997,-1.0,22.1
c5_batch_processing,c9_determinism,20,6,0.3,0.5844400000000001,73.31579,0.7827949999999999,142.2,0.23773499999999997,-1.0,22.1
c6_low_memory,c6_low_memory,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c6_low_memory,c8_cpu_swap,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c6_low_memory,c9_determinism,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c8_cpu_swap,c8_cpu_swap,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c8_cpu_swap,c9_determinism,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
c9_determinism,c9_determinism,20,20,1.0,1.0,100.0,1.0,0.0,0.0,-1.0,-1.0
