config_a,config_b,prompt_id,exact_match,token_match_ratio,bleu,rouge_l,edit_distance,first_divergence_token
c0_baseline,c0_baseline,cg_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,cg_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,cg_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,ec_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,ec_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,ec_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,lr_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,lr_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,lr_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,lr_04,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,mc_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,mc_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,mc_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,mc_04,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,rs_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,rs_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,sf_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,sf_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,sf_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c0_baseline,sf_04,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,cg_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,cg_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,cg_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,ec_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,ec_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,ec_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,lr_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,lr_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,lr_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,lr_04,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,mc_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,mc_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,mc_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,mc_04,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,rs_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,rs_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,sf_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,sf_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,sf_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c1_chunked_prefill_small,sf_04,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,cg_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,cg_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,cg_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,ec_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,ec_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,ec_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,lr_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,lr_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,lr_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,lr_04,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,mc_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,mc_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,mc_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,mc_04,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,rs_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,rs_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,sf_01,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,sf_02,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,sf_03,1.0,1.0,100.0,1.0,0,-1
c0_baseline,c2_chunked_prefill_large,sf_04,1.0,1.0,100.0,1.0,0,-1
